2210931241;366450;1001467485; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391583350;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391583350; ANDROID             
2210931242;366450;1001467485; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391548449;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391548449; ANDROID             
2210932495;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391664877;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391664877; ANDROID             
2210932496;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; Vod3ResponsiveWidget          ; widgetShow              ; Vod3ResponsiveWidget              ;1551391678158;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391678158; ANDROID             
2210932497;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; MediaLibraryResponsiveWidget  ; widgetShow              ; MediaLibraryResponsiveWidget      ;1551391684249;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391684249; ANDROID             
2210932498;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391710734;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391710734; ANDROID             
2210932499;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; WhatsOnResponsiveWidget       ; widgetShow              ; WhatsOnResponsiveWidget           ;1551391694310;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391694310; ANDROID             
2210932500;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; MediaLibraryResponsiveWidget  ; widgetShow              ; MediaLibraryResponsiveWidget      ;1551391706810;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391706810; ANDROID             
2210932501;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391713611;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391713611; ANDROID             
2210932502;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391750878;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391750878; ANDROID             
2210932503;452605;1001389498; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391956495;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391956495; ANDROID             
2210933144;296831;1001413482; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; 360TV HD                      ; mediaSeen_PROGRAM       ; Sarunu ?ovs par sportu ?Hattrick  ;1551391348076;38452;737484; null                                               ;136; 360TV HD                 ;6550658643016;1551391348076; ANDROID             
2210933145;296831;1001413482; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391348176;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391348176; ANDROID             
2210933232;128556;1001448029; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391752134;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391752134; ANDROID             
2210933233;128556;1001448029; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391768882;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391768882; ANDROID             
2210933447;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391785397;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391785397; ANDROID             
2210933448;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391819341;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391819341; ANDROID             
2210933449;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391861439;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391861439; ANDROID             
2210933450;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391849898;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391849898; ANDROID             
2210933451;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391951661;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391951661; ANDROID             
2210933452;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551392023925;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392023925; ANDROID             
2210934048;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391802519;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391802519; ANDROID             
2210934049;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391804517;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391804517; ANDROID             
2210934050;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391808366;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391808366; ANDROID             
2210934051;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391810589;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391810589; ANDROID             
2210934052;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391833083;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391833083; ANDROID             
2210934053;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391973360;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391973360; ANDROID             
2210934054;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551392003071;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392003071; ANDROID             
2210934459;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; WhatsOnResponsiveWidget       ; widgetShow              ; WhatsOnResponsiveWidget           ;1551391930939;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391930939; ANDROID             
2210934460;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; Vod3ResponsiveWidget          ; widgetShow              ; Vod3ResponsiveWidget              ;1551391940456;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391940456; ANDROID             
2210934461;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; SettingsResponsiveWidget      ; widgetShow              ; SettingsResponsiveWidget          ;1551391970136;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391970136; ANDROID             
2210934462;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; WhatsOnResponsiveWidget       ; widgetShow              ; WhatsOnResponsiveWidget           ;1551392059864;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392059864; ANDROID             
2210934463;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; WhatsOnResponsiveWidget       ; widgetShow              ; WhatsOnResponsiveWidget           ;1551391962361;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391962361; ANDROID             
2210934464;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551392098698;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392098698; ANDROID             
2210934465;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; WhatsOnResponsiveWidget       ; widgetShow              ; WhatsOnResponsiveWidget           ;1551392080856;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392080856; ANDROID             
2210934466;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; Vod3ResponsiveWidget          ; widgetShow              ; Vod3ResponsiveWidget              ;1551392090497;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392090497; ANDROID             
2210935369;238248;1001189089; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391279893;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391279893; ANDROID             
2210935370;238248;1001189089; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391459867;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391459867; ANDROID             
2210936077;107576;1001329449; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551392164229;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392164229; ANDROID             
2210936078;107576;1001329449; G3_ANDROID_QP_1.0.0  ; UTC+01:00            ; MediaLibraryResponsiveWidget  ; widgetShow              ; MediaLibraryResponsiveWidget      ;1551392111291;0;737484; null                                               ; null                   ; null                     ; null                    ;1551392111291; ANDROID             
2210936404;350966;1001459189; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391868990;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391868990; ANDROID             
2210936405;350966;1001459189; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;598437725; schedulingAdded         ; D?eks R??ers                      ;1551391879620;0;737484; null                                               ; null                   ; 3+ HD                    ;6550098392928;1551391879620; ANDROID             
2210936897;238437;1001450797; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;86; mediaSeen_PROGRAM       ; Discovery Channel                 ;1551391226941;26141;737484; null                                               ;86; Discovery Channel        ;6545403130177;1551391226941; ANDROID             
2210941275;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;42; LiveUsage               ; LTV1                              ;1551391311806;14766;737484; null                                               ;42; LTV1                     ; null                    ;1551391297040; ANDROID             
2210941276;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;42; LiveUsage               ; LTV1                              ;1551391719871;13192;737484; null                                               ;42; LTV1                     ; null                    ;1551391706679; ANDROID             
2210941277;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;42; LiveUsage               ; LTV1                              ;1551391878783;17350;737484; null                                               ;42; LTV1                     ; null                    ;1551391861433; ANDROID             
2210941279;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; S TV                          ; RESTARTUsage            ;" Realit?tes ?ovs ""Kivi?s. Pavisam  ";1551391705712;353634;737484; null                                               ;25; S TV                     ;6550673227823;1551391352078; ANDROID             
2210941280;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; S TV                          ; RESTARTUsage            ;" Realit?tes ?ovs ""Kivi?s. Pavisam  ";1551391852074;120006;737484; null                                               ;25; S TV                     ;6550673227823;1551391732068; ANDROID             
2210941281;62320;1001457733; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; S TV                          ; RESTARTUsage            ;" Realit?tes ?ovs ""Kivi?s. Pavisam  ";1551392019798;132835;737484; null                                               ;25; S TV                     ;6550673227823;1551391886963; ANDROID             
2210949694;213398;1001398282; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;2; LiveUsage               ; LNT HD                            ;1551397047207;5760188;737484; null                                               ;2; LNT HD                   ; null                    ;1551391287019; ANDROID             
2210950160;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;42; LiveUsage               ; LTV1                              ;1551391924284;19480;737484; null                                               ;42; LTV1                     ; null                    ;1551391904804; ANDROID             
2210950161;220156;1001468489; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;7; LiveUsage               ; LTV7                              ;1551392044343;120059;737484; null                                               ;7; LTV7                     ; null                    ;1551391924284; ANDROID             
2210951141;238437;1001450797; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ;86; STARTOVERUsage          ; Discovery Channel                 ;1551395727159;4500218;737484; null                                               ;86; Discovery Channel        ;6545403130179;1551391226941; ANDROID             
